Organization,Department,Designation,Functional Role
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Director","Data Quality & Validation"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Director","Research & Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Director","Economic Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Director","Social Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Director","Demographic Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Director","Statistical Computing"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Director","Data Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Director","Data Governance"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Director","Policy Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Director","Programme Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Director","Monitoring & Evaluation"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Director","Training & Capacity Building"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Director","Administration"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Director","Finance & Accounts"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Director","IT / Digital Systems"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Director","Database Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Director","AI / Machine Learning"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Director","Cyber Security"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Director","e-Governance"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Director","Learning & Development"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Deputy Director","Statistical Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Deputy Director","Data Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Deputy Director","Survey Operations"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Deputy Director","Sampling"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Deputy Director","Data Quality & Validation"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Deputy Director","Research & Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Deputy Director","Economic Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Deputy Director","Social Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Deputy Director","Demographic Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Deputy Director","Statistical Computing"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Deputy Director","Data Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Deputy Director","Data Governance"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Deputy Director","Policy Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Deputy Director","Programme Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Deputy Director","Monitoring & Evaluation"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Deputy Director","Training & Capacity Building"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Deputy Director","Administration"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Deputy Director","Finance & Accounts"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Deputy Director","IT / Digital Systems"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Deputy Director","Database Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Deputy Director","AI / Machine Learning"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Deputy Director","Cyber Security"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Deputy Director","e-Governance"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Deputy Director","Learning & Development"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Senior Statistical Officer","Statistical Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Senior Statistical Officer","Data Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Senior Statistical Officer","Survey Operations"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Senior Statistical Officer","Sampling"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Senior Statistical Officer","Data Quality & Validation"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Senior Statistical Officer","Research & Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Senior Statistical Officer","Economic Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Senior Statistical Officer","Social Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Senior Statistical Officer","Demographic Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Senior Statistical Officer","Statistical Computing"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Senior Statistical Officer","Data Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Senior Statistical Officer","Data Governance"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Senior Statistical Officer","Policy Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Senior Statistical Officer","Programme Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Senior Statistical Officer","Monitoring & Evaluation"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Senior Statistical Officer","Training & Capacity Building"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Senior Statistical Officer","Administration"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Senior Statistical Officer","Finance & Accounts"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Senior Statistical Officer","IT / Digital Systems"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Senior Statistical Officer","Database Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Senior Statistical Officer","AI / Machine Learning"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Senior Statistical Officer","Cyber Security"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Senior Statistical Officer","e-Governance"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Senior Statistical Officer","Learning & Development"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Junior Statistical Officer","Statistical Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Junior Statistical Officer","Data Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Junior Statistical Officer","Survey Operations"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Junior Statistical Officer","Sampling"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Junior Statistical Officer","Data Quality & Validation"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Junior Statistical Officer","Research & Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Junior Statistical Officer","Economic Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Junior Statistical Officer","Social Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Junior Statistical Officer","Demographic Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Junior Statistical Officer","Statistical Computing"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Junior Statistical Officer","Data Management"
